cpu-bind=MASK - cn048, task  0  0 [2412103]: mask 0x9e5020009e50200 set
cpu-bind=MASK - cn048, task  0  0 [2413045]: mask 0x9e5020009e50200 set
cpu-bind=MASK - cn048, task  1  1 [2413046]: mask 0x9e5020009e50200 set
LAMMPS (12 Jun 2025 - Development - patch_12Jun2025-673-gd34d6b79e3-modified)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (50 50 50)
  1 by 1 by 2 MPI processor grid
  reading atoms ...
  147 atoms
  read_data CPU = 0.017 seconds
Loading MACE model from 'mace-mpa-0-medium-47-79.json' ... success
  mapping LAMMPS type 1 (Ag) to MACE type 0
  mapping LAMMPS type 2 (Au) to MACE type 1
System init for write_data ...
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 13 13 13
  1 neighbor lists, perpetual/occasional/extra = 1 0 0
  (1) pair symmetrix/mace, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
Setting up Verlet run ...
  Unit style    : metal
  Current step  : 0
  Time step     : 0.002
Per MPI rank memory allocation (min/avg/max) = 3.404 | 3.467 | 3.53 Mbytes
   Step          Temp          Press            Lx             Ly             Lz           Volume         TotEng         PotEng    
         0   300           -192.23074      50             50             50             125000        -2.756923      -2.7954373    
         1   299.78324     -191.78393      50             50             50             125000        -2.756923      -2.7954094    
         2   298.83635     -190.45537      50             50             50             125000        -2.756923      -2.7952878    
         3   297.16507     -188.25571      50             50             50             125000        -2.7569229     -2.7950732    
         4   294.78043     -185.20089      50             50             50             125000        -2.7569228     -2.7947669    
         5   291.69886     -181.30767      50             50             50             125000        -2.7569226     -2.7943711    
         6   287.94225     -176.60111      50             50             50             125000        -2.7569223     -2.7938886    
         7   283.53788     -171.11538      50             50             50             125000        -2.7569219     -2.7933228    
         8   278.51851     -164.88991      50             50             50             125000        -2.7569215     -2.7926779    
         9   272.92229     -157.96841      50             50             50             125000        -2.7569209     -2.7919589    
        10   266.79265     -150.40074      50             50             50             125000        -2.7569202     -2.7911712    
        11   260.17815     -142.24423      50             50             50             125000        -2.7569193     -2.7903212    
        12   253.13229     -133.56042      50             50             50             125000        -2.7569183     -2.7894156    
        13   245.71317     -124.41875      50             50             50             125000        -2.756917      -2.7884619    
        14   237.98315     -114.88654      50             50             50             125000        -2.7569156     -2.7874681    
        15   230.00829     -105.04098      50             50             50             125000        -2.756914      -2.7864427    
        16   221.85782     -94.957154      50             50             50             125000        -2.7569122     -2.7853945    
        17   213.60332     -84.718145      50             50             50             125000        -2.7569102     -2.7843328    
        18   205.31797     -74.405998      50             50             50             125000        -2.756908      -2.7832669    
        19   197.07559     -64.099259      50             50             50             125000        -2.7569056     -2.7822064    
        20   188.94966     -53.87666       50             50             50             125000        -2.756903      -2.7811606    
        21   181.01231     -43.815045      50             50             50             125000        -2.7569003     -2.7801388    
        22   173.33314     -33.988787      50             50             50             125000        -2.7568973     -2.77915      
        23   165.97816     -24.467593      50             50             50             125000        -2.7568942     -2.7782027    
        24   159.00869     -15.316823      50             50             50             125000        -2.756891      -2.7773047    
        25   152.48032     -6.5955784      50             50             50             125000        -2.7568876     -2.7764632    
        26   146.442        1.6443129      50             50             50             125000        -2.7568841     -2.7756845    
        27   140.93519      9.3601402      50             50             50             125000        -2.7568805     -2.7749739    
        28   135.99321      16.515606      50             50             50             125000        -2.7568768     -2.7743357    
        29   131.64065      23.083638      50             50             50             125000        -2.756873      -2.7737731    
        30   127.89311      29.046226      50             50             50             125000        -2.756869      -2.773288     
        31   124.75705      34.393253      50             50             50             125000        -2.7568649     -2.7728814    
        32   122.22984      39.123307      50             50             50             125000        -2.7568607     -2.7725527    
        33   120.30003      43.245952      50             50             50             125000        -2.7568564     -2.7723006    
        34   118.94782      46.776076      50             50             50             125000        -2.7568518     -2.7721225    
        35   118.14563      49.736928      50             50             50             125000        -2.7568471     -2.7720148    
        36   117.85889      52.160558      50             50             50             125000        -2.7568422     -2.771973     
        37   118.04696      54.083405      50             50             50             125000        -2.756837      -2.7719919    
        38   118.66403      55.549059      50             50             50             125000        -2.7568315     -2.7720657    
        39   119.66021      56.604256      50             50             50             125000        -2.7568257     -2.7721877    
        40   120.98258      57.298276      50             50             50             125000        -2.7568195     -2.7723513    
        41   122.57622      57.684442      50             50             50             125000        -2.756813      -2.7725494    
        42   124.38532      57.818194      50             50             50             125000        -2.756806      -2.7727747    
        43   126.35416      57.755712      50             50             50             125000        -2.7567987     -2.7730201    
        44   128.42803      57.549564      50             50             50             125000        -2.7567909     -2.7732786    
        45   130.55418      57.252456      50             50             50             125000        -2.7567826     -2.7735433    
        46   132.6826       56.91504       50             50             50             125000        -2.7567738     -2.7738078    
        47   134.76668      56.584831      50             50             50             125000        -2.7567646     -2.7740661    
        48   136.76387      56.306549      50             50             50             125000        -2.7567549     -2.7743127    
        49   138.63621      56.118241      50             50             50             125000        -2.7567446     -2.7745429    
        50   140.35071      56.055017      50             50             50             125000        -2.7567339     -2.7747523    
        51   141.87976      56.14661       50             50             50             125000        -2.7567227     -2.7749373    
        52   143.20131      56.414817      50             50             50             125000        -2.756711      -2.7750953    
        53   144.29904      56.877974      50             50             50             125000        -2.7566989     -2.7752241    
        54   145.16241      57.549749      50             50             50             125000        -2.7566863     -2.7753224    
        55   145.78669      58.437349      50             50             50             125000        -2.7566733     -2.7753895    
        56   146.17277      59.541439      50             50             50             125000        -2.7566599     -2.7754257    
        57   146.32692      60.855543      50             50             50             125000        -2.7566461     -2.7754317    
        58   146.2605       62.37032       50             50             50             125000        -2.756632      -2.775409     
        59   145.98948      64.072687      50             50             50             125000        -2.7566175     -2.7753598    
        60   145.53398      65.94617       50             50             50             125000        -2.7566028     -2.7752866    
        61   144.91764      67.970282      50             50             50             125000        -2.7565878     -2.7751924    
        62   144.1669       70.120343      50             50             50             125000        -2.7565725     -2.7750808    
        63   143.31038      72.369496      50             50             50             125000        -2.756557      -2.7749553    
        64   142.37811      74.688981      50             50             50             125000        -2.7565412     -2.7748199    
        65   141.40073      77.049356      50             50             50             125000        -2.7565253     -2.7746785    
        66   140.40875      79.422552      50             50             50             125000        -2.7565092     -2.774535     
        67   139.43183      81.781071      50             50             50             125000        -2.7564929     -2.7743933    
        68   138.4981       84.097591      50             50             50             125000        -2.7564765     -2.774257     
        69   137.63363      86.345432      50             50             50             125000        -2.7564599     -2.7741294    
        70   136.86186      88.498245      50             50             50             125000        -2.7564431     -2.7740135    
        71   136.20327      90.535486      50             50             50             125000        -2.7564261     -2.773912     
        72   135.67506      92.436613      50             50             50             125000        -2.7564089     -2.773827     
        73   135.29096      94.189665      50             50             50             125000        -2.7563916     -2.7737603    
        74   135.06108      95.781494      50             50             50             125000        -2.756374      -2.7737132    
        75   134.99198      97.200532      50             50             50             125000        -2.7563562     -2.7736865    
        76   135.08672      98.439222      50             50             50             125000        -2.7563381     -2.7736806    
        77   135.34509      99.494053      50             50             50             125000        -2.7563197     -2.7736954    
        78   135.76374      100.36416      50             50             50             125000        -2.756301      -2.7737305    
        79   136.33648      101.05515      50             50             50             125000        -2.7562821     -2.773785     
        80   137.05451      101.57041      50             50             50             125000        -2.7562627     -2.7738579    
        81   137.90677      101.91799      50             50             50             125000        -2.756243      -2.7739476    
        82   138.88033      102.10495      50             50             50             125000        -2.7562229     -2.7740525    
        83   139.96064      102.14565      50             50             50             125000        -2.7562024     -2.7741707    
        84   141.13186      102.05118      50             50             50             125000        -2.7561815     -2.7743001    
        85   142.37727      101.83549      50             50             50             125000        -2.7561601     -2.7744386    
        86   143.67957      101.51322      50             50             50             125000        -2.7561383     -2.774584     
        87   145.02127      101.09965      50             50             50             125000        -2.756116      -2.774734     
        88   146.38497      100.6113       50             50             50             125000        -2.7560933     -2.7748863    
        89   147.75372      100.06379      50             50             50             125000        -2.7560701     -2.7750388    
        90   149.11127      99.472807      50             50             50             125000        -2.7560464     -2.7751895    
        91   150.44235      98.852017      50             50             50             125000        -2.7560223     -2.7753362    
        92   151.73289      98.214403      50             50             50             125000        -2.7559978     -2.7754773    
        93   152.97019      97.57086       50             50             50             125000        -2.7559727     -2.7756112    
        94   154.14309      96.936527      50             50             50             125000        -2.7559473     -2.7757363    
        95   155.24212      96.319603      50             50             50             125000        -2.7559215     -2.7758516    
        96   156.25957      95.727858      50             50             50             125000        -2.7558952     -2.7759559    
        97   157.18949      95.167386      50             50             50             125000        -2.7558686     -2.7760487    
        98   158.02761      94.645457      50             50             50             125000        -2.7558416     -2.7761293    
        99   158.77133      94.167299      50             50             50             125000        -2.7558143     -2.7761975    
       100   159.41955      93.733118      50             50             50             125000        -2.7557867     -2.7762531    
       101   159.9726       93.34695       50             50             50             125000        -2.7557588     -2.7762962    
       102   160.43202      93.010227      50             50             50             125000        -2.7557306     -2.776327     
       103   160.80045      92.721714      50             50             50             125000        -2.7557022     -2.7763459    
       104   161.08145      92.480058      50             50             50             125000        -2.7556736     -2.7763534    
       105   161.27934      92.28228       50             50             50             125000        -2.7556448     -2.77635      
       106   161.39903      92.126505      50             50             50             125000        -2.7556158     -2.7763364    
       107   161.44592      92.006692      50             50             50             125000        -2.7555867     -2.7763133    
       108   161.42579      91.919305      50             50             50             125000        -2.7555575     -2.7762815    
       109   161.34474      91.858879      50             50             50             125000        -2.7555281     -2.7762417    
       110   161.20922      91.821742      50             50             50             125000        -2.7554987     -2.7761949    
       111   161.02591      91.798143      50             50             50             125000        -2.7554692     -2.7761418    
       112   160.80179      91.784193      50             50             50             125000        -2.7554396     -2.7760835    
       113   160.54408      91.771427      50             50             50             125000        -2.75541       -2.7760208    
       114   160.26027      91.750943      50             50             50             125000        -2.7553803     -2.7759547    
       115   159.95819      91.714983      50             50             50             125000        -2.7553507     -2.7758862    
       116   159.64593      91.655799      50             50             50             125000        -2.755321      -2.7758165    
       117   159.33183      91.568478      50             50             50             125000        -2.7552913     -2.7757464    
       118   159.02434      91.440406      50             50             50             125000        -2.7552616     -2.7756773    
       119   158.73196      91.263752      50             50             50             125000        -2.7552319     -2.7756101    
       120   158.46317      91.03299       50             50             50             125000        -2.7552022     -2.7755459    
       121   158.22636      90.741002      50             50             50             125000        -2.7551726     -2.7754858    
       122   158.02961      90.377458      50             50             50             125000        -2.7551429     -2.7754309    
       123   157.88053      89.935368      50             50             50             125000        -2.7551133     -2.7753821    
       124   157.78613      89.406428      50             50             50             125000        -2.7550837     -2.7753404    
       125   157.75263      88.785961      50             50             50             125000        -2.7550541     -2.7753065    
       126   157.78537      88.067278      50             50             50             125000        -2.7550245     -2.7752811    
       127   157.88859      87.249763      50             50             50             125000        -2.7549949     -2.7752647    
       128   158.0654       86.328928      50             50             50             125000        -2.7549652     -2.7752578    
       129   158.31764      85.305208      50             50             50             125000        -2.7549356     -2.7752606    
       130   158.64586      84.175278      50             50             50             125000        -2.754906      -2.7752731    
       131   159.04927      82.937938      50             50             50             125000        -2.7548763     -2.7752952    
       132   159.52578      81.595392      50             50             50             125000        -2.7548466     -2.7753266    
       133   160.07213      80.150267      50             50             50             125000        -2.7548168     -2.775367     
       134   160.68391      78.606086      50             50             50             125000        -2.754787      -2.7754158    
       135   161.35569      76.966913      50             50             50             125000        -2.7547572     -2.7754721    
       136   162.08118      75.239252      50             50             50             125000        -2.7547272     -2.7755354    
       137   162.85337      73.429258      50             50             50             125000        -2.7546973     -2.7756045    
       138   163.66475      71.547603      50             50             50             125000        -2.7546672     -2.7756786    
       139   164.50748      69.597226      50             50             50             125000        -2.7546371     -2.7757567    
